FURNISHED,GOURMET_SPACE,KITCHEN,DRESS_ROOM,BATHROOMS,BALCONY,SPORTS_COURT,FOOD_COURT,RECREATION_AREA,REST_AREAS,POOL,SAFETY,VIEW,ACCESSIBILITY,WORK_AREAS,GARAGE,SUSTAINABILITY,OUTDOOR_AREAS,PET_FRIENDLY,MID_END_APARTMENT_AMENITIES,HIGH_END_APARTMENT_AMENITIES,HIGH_END_CONDO_AMENITIES,ZONE_CODE,NEIGHBORHOOD_CODE,ZONE,NEIGHBORHOOD,STREET,PRICE,USABLEAREAS,TOTALAREAS,PARKINGSPACES,SUITES,BEDROOMS,TOTAL_AMENITIES,ELEVATOR,SERVICE_AREA,LAUNDRY,LUNCH_ROOM,ESSENTIAL_PUBLIC_SERVICES,NEAR_ACCESS_ROADS,NEAR_SCHOOL,NEAR_HOSPITAL,NEAR_SHOPPING_CENTER,NEAR_PUBLIC_TRANSPORT,COVERAGE,YEARLY_EXPENSES
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,28,Zona Sul,Copacabana,Avenida Princesa Isabel,1490000,135,135,0,1,3,0,False,False,False,False,False,False,False,False,False,False,False,12003
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,89,Zona Sul,Praça da Bandeira,Avenida Paulo de Frontin,310000,94,94,0,0,3,1,False,False,False,False,False,False,False,False,False,False,False,4570
False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,4,47,Zona Sul,Gávea,Avenida Rodrigo Otavio,2550000,161,161,2,3,4,11,True,True,True,False,False,False,False,False,False,False,False,24897
False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,3,8,Zona Oeste,Barra Olímpica,Rua Alfredo Ceschiatti,735000,87,87,1,1,2,5,False,False,False,False,False,False,False,False,False,False,False,19960
True,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,3,80,Zona Oeste,Pechincha,Rua Retiro dos Artistas,290000,70,70,1,1,3,11,True,True,False,False,False,False,False,False,False,False,False,8468
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,107,Zona Norte,São Cristóvão,Rua Argentina,220000,55,55,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False,6708
False,True,True,False,True,False,True,True,True,True,True,True,False,True,False,False,False,True,True,True,False,False,3,93,Zona Oeste,Recreio dos Bandeirantes,Rua José Mindlin,617000,70,70,1,1,1,18,True,False,False,False,False,False,False,False,False,False,False,16890
False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,4,53,Zona Sul,Ipanema,Avenida Vieira Souto,10900000,252,252,2,2,3,6,True,False,False,False,False,False,False,False,False,False,False,68500
False,False,False,False,True,True,False,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,4,28,Zona Sul,Copacabana,Rua Paula Freitas,1900000,115,115,1,1,2,12,False,False,False,False,False,False,False,False,False,False,False,17512
False,True,False,False,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,4,47,Zona Sul,Gávea,Rua Marquês de São Vicente,810000,29,29,0,0,1,25,True,True,False,False,False,False,False,False,False,False,False,8000
False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,4,13,Zona Sul,Botafogo,Rua Sorocaba,1587000,109,109,2,2,4,28,True,True,False,False,False,False,False,False,False,False,False,13
False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,4,28,Zona Sul,Copacabana,Rua Leopoldo Miguez,858000,35,35,0,0,1,7,False,False,False,False,False,False,False,False,False,False,False,12100
